Sample_file	Query_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Contig_name
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002119525.1_genomic.fna.gz	3.2893	5.3859	96.60	96.60	NA-NA	20.000	HIGH	NA-NA	20	19.539	6816/19934	NZ_CP017916.1 Vibrio alginolyticus strain K08M4 chromosome 1, complete sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_003487125.1_genomic.fna.gz	2.6315	1.4909	97.10	97.10	NA-NA	16.000	HIGH	NA-NA	16	14.013	2903/7231	contig_12264
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001405375.1_genomic.fna.gz	2.6315	1.9706	95.28	95.28	NA-NA	16.000	HIGH	NA-NA	16	14.141	2131/9545	NZ_CYYP01000001.1 Collinsella aerofaciens strain 2789STDY5608823, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_001623385.2_genomic.fna.gz	2.3025	0.5302	97.36	97.36	NA-NA	14.000	HIGH	NA-NA	14	14.228	1170/2678	LLKK01000001.1 Phytoplasma sp. Vc33 3J-1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000407565.1_genomic.fna.gz	2.1381	1.7256	95.96	95.96	NA-NA	13.000	HIGH	NA-NA	13	13.101	2815/10118	NZ_ASWI01000001.1 Enterococcus cecorum DSM 20682 = ATCC 43198 acyrV-supercont1.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002095975.1_genomic.fna.gz	2.1381	3.6821	97.64	97.64	NA-NA	13.000	HIGH	NA-NA	13	13.508	9222/19361	NZ_CP020771.1 Microcystis aeruginosa PCC 7806SL chromosome, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000722815.1_genomic.fna.gz	1.8091	1.1715	96.66	96.66	NA-NA	11.000	HIGH	NA-NA	11	11.553	2849/8174	NZ_JPFT01000001.1 Streptococcus mitis strain SK1126 gsmSK1126.contig.0_1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000507865.1_genomic.fna.gz	1.8091	1.1717	96.96	96.96	NA-NA	11.000	HIGH	NA-NA	11	11.095	3117/8124	NZ_KI669458.1 Helicobacter canis NCTC 12740 addUr-supercont-complete, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_003212755.1_genomic.fna.gz	1.6447	0.7940	97.58	97.58	NA-NA	10.000	HIGH	NA-NA	10	9.728	2888/6174	QCOZ01000001.1 Prochlorococcus sp. AG-436-A04 Ga0171961_101, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001553215.1_genomic.fna.gz	1.4802	1.1683	96.69	96.69	NA-NA	9.000	HIGH	NA-NA	9	8.941	3571/10148	NZ_KQ960406.1 Porphyromonas somerae strain KA00683 Scaffold19, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000758565.1_genomic.fna.gz	1.4802	4.1779	97.42	97.42	NA-NA	9.000	HIGH	NA-NA	9	8.711	15993/36012	NZ_CP009280.1 Paenibacillus sp. FSL P4-0081, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001534765.1_genomic.fna.gz	1.3157	1.3070	97.77	97.77	NA-NA	8.000	HIGH	NA-NA	8	7.985	6211/12516	NZ_CP013217.1 Kurthia sp. 11kri321, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002472835.1_genomic.fna.gz	1.3157	2.5362	96.75	96.75	NA-NA	8.000	HIGH	NA-NA	8	7.883	8990/24999	DKST01000009.1 TPA_asm: Sphingobacterium sp. UBA7249 UBA7249_contig_1014, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002299315.1_genomic.fna.gz	1.3157	0.6264	97.23	97.23	NA-NA	8.000	HIGH	NA-NA	8	8.339	2583/6163	DBOV01000051.1 TPA_asm: Faecalitalea sp. UBA637 UBA637_contig_101649, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_003186475.1_genomic.fna.gz	1.1513	1.9519	96.95	96.95	NA-NA	7.000	HIGH	NA-NA	7	7.394	8391/21926	NZ_CP021164.1 Serratia marcescens strain 332 chromosome, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001482755.1_genomic.fna.gz	1.1513	1.3890	97.04	97.04	NA-NA	7.000	HIGH	NA-NA	7	7.282	6171/15650	NZ_LMXM01000006.1 Chloracidobacterium thermophilum strain OC1 Contig_15, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000504225.1_genomic.fna.gz	1.1513	0.5386	96.61	96.61	NA-NA	7.000	HIGH	NA-NA	7	6.761	2050/5973	NZ_AZAL01000001.1 Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000148935.1_genomic.fna.gz	1.1513	1.8858	97.69	97.69	NA-NA	7.000	HIGH	NA-NA	7	7.044	10085/20785	NC_014562.1 Pantoea vagans C9-1, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000226295.1_genomic.fna.gz	1.1513	1.4256	95.16	95.16	NA-NA	7.000	HIGH	NA-NA	7	7.186	3372/15688	NC_016024.1 Chloracidobacterium thermophilum B chromosome 1, complete sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000367805.1_genomic.fna.gz	0.9868	0.2853	96.73	96.73	NA-NA	6.000	HIGH	NA-NA	6	6.044	1328/3723	NZ_AORH01000001.1 Mycoplasma bovigenitalium 51080 contig00003, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_003285205.1_genomic.fna.gz	0.9868	1.5164	97.74	97.74	NA-NA	6.000	HIGH	NA-NA	6	5.934	8827/17929	CP016181.1 Marinomonas primoryensis strain AceL chromosome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000196555.1_genomic.fna.gz	0.8223	0.6573	95.14	95.14	NA-NA	5.000	HIGH	NA-NA	5	4.898	2133/9990	NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217 DNA, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001659845.1_genomic.fna.gz	0.8223	1.9528	95.83	95.83	NA-NA	5.000	HIGH	NA-NA	5	5.081	8020/30002	NZ_LXQN01000001.1 Paenibacillus sp. AD87 gpAD87_contig0001, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_003280455.1_genomic.fna.gz	0.8223	0.2519	96.94	96.94	NA-NA	5.000	HIGH	NA-NA	5	4.744	1496/3925	QCEV01000001.1 SAR86 cluster bacterium AG-359-O04 Ga0172197_101, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001580675.1_genomic.fna.gz	0.8223	1.0032	97.21	97.21	NA-NA	5.000	HIGH	NA-NA	5	5.075	6515/15685	NZ_LHZB01000121.1 Gluconobacter oxydans strain LMG 1764 LMG1764_1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002704465.1_genomic.fna.gz	0.8223	0.3937	96.74	96.74	NA-NA	5.000	HIGH	NA-NA	5	5.493	2148/6000	PAGI01000055.1 Marinovum sp. isolate MED793 104055, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_900313215.1_genomic.fna.gz	0.6579	0.5104	97.64	97.64	NA-NA	4.000	HIGH	NA-NA	4	4.124	4675/9798	OMQL01000084.1 uncultured Prevotella sp. isolate RUG782 genome assembly, contig: scaffold_28754, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002696455.1_genomic.fna.gz	0.6579	0.2637	96.15	96.15	NA-NA	4.000	HIGH	NA-NA	4	4.322	1477/4996	NZTK01000065.1 Halieaceae bacterium isolate EAC114 109712, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_900320995.1_genomic.fna.gz	0.6579	0.4944	95.03	95.03	NA-NA	4.000	HIGH	NA-NA	4	3.949	1986/9645	ONUI01000284.1 uncultured Clostridiales bacterium isolate RUG641 genome assembly, contig: scaffold_149448, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000813705.1_genomic.fna.gz	0.6579	0.5405	97.40	97.40	NA-NA	4.000	HIGH	NA-NA	4	4.055	4504/10204	NZ_JUFZ01000001.1 Morococcus cerebrosus strain CIP 81.93 MCC93_01, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002943835.1_genomic.fna.gz	0.6579	1.3194	96.23	96.23	NA-NA	4.000	HIGH	NA-NA	4	4.176	7690/25351	NZ_CP026924.1 Agrobacterium tumefaciens strain 1D1609 chromosome I, complete sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_003044935.1_genomic.fna.gz	0.6579	0.4759	96.27	96.27	NA-NA	4.000	HIGH	NA-NA	4	3.876	2892/9396	NZ_POXP01000001.1 Neisseria subflava strain C2012011976 C2012011976_S31_ctg_494, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_900316555.1_genomic.fna.gz	0.6579	0.4138	95.62	95.62	NA-NA	4.000	HIGH	NA-NA	4	3.979	2039/8170	ONDL01000123.1 uncultured Clostridiales bacterium isolate RUG202 genome assembly, contig: scaffold_94090, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000294495.1_genomic.fna.gz	0.4934	0.3275	96.30	96.30	NA-NA	3.000	HIGH	NA-NA	3	3.126	2561/8229	NC_018526.1 Streptococcus suis S735, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002367455.1_genomic.fna.gz	0.4934	0.4542	97.90	97.90	NA-NA	3.000	HIGH	NA-NA	3	3.017	6180/11914	DFCG01000077.1 TPA_asm: Acinetobacter sp. UBA3060 UBA3060_contig_10, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002341585.1_genomic.fna.gz	0.4934	0.4311	98.02	98.02	NA-NA	3.000	HIGH	NA-NA	3	3.347	6043/11221	DDOJ01000023.1 TPA_asm: Brevundimonas sp. UBA2497 UBA2497_contig_1042, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000011805.1_genomic.fna.gz	0.4934	0.7066	96.37	96.37	NA-NA	3.000	HIGH	NA-NA	3	2.898	5758/18130	NC_006840.2 Vibrio fischeri ES114 chromosome I, complete sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000478365.1_genomic.fna.gz	0.4934	0.9553	97.51	97.51	NA-NA	3.000	HIGH	NA-NA	3	3.110	11380/24906	NZ_ANJR01000032.1 Herbaspirillum huttiense subsp. putei IAM 15032 id_33_Contig, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000156615.2_genomic.fna.gz	0.4934	0.4301	97.34	97.34	NA-NA	3.000	HIGH	NA-NA	3	3.283	4699/10853	NZ_GL542874.1 Corynebacterium pseudogenitalium ATCC 33035 SCAFFOLD1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002379155.1_genomic.fna.gz	0.4934	0.1737	97.39	97.39	NA-NA	3.000	HIGH	NA-NA	3	3.448	1953/4431	NZ_NWVK01000108.1 Wolbachia pipientis strain FL2016 wA-FL-contig_103526, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000208405.1_genomic.fna.gz	0.4934	0.4246	95.83	95.83	NA-NA	3.000	HIGH	NA-NA	3	3.230	2948/11051	NC_015437.1 Selenomonas sputigena ATCC 35185, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002754175.1_genomic.fna.gz	0.4934	0.8340	97.54	97.54	NA-NA	3.000	HIGH	NA-NA	3	2.778	10065/21774	NZ_PEET01000001.1 Acidovorax sp. 59 Ga0181129_11, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002795165.1_genomic.fna.gz	0.4934	0.5645	96.65	96.65	NA-NA	3.000	HIGH	NA-NA	3	2.955	5143/14807	NZ_LBNL01000001.1 Acinetobacter tandoii strain SC36 contig1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002871435.1_genomic.fna.gz	0.4934	0.5126	97.81	97.81	NA-NA	3.000	HIGH	NA-NA	3	3.275	6846/13586	NZ_PNFZ01000001.1 Brevibacterium luteolum strain UMB0680 ERR1203761.17957_2_84.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000717055.1_genomic.fna.gz	0.3895	1.1913	95.87	95.59	95.82-95.93	2.368	2.368	2.26-2.50	2	2.552	9770/39585	NZ_JNXI01000001.1 Streptomyces iakyrus strain NRRL ISP-5482 contig1.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002112885.1_genomic.fna.gz	0.3816	0.8181	96.46	96.16	96.41-96.57	2.320	2.320	1.99-2.43	2	2.504	8245/27776	NZ_NEIX01000001.1 Pseudomonas sp. B37(2017) B37_1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000300295.4_genomic.fna.gz	0.3686	0.4333	96.83	96.50	96.76-96.90	2.241	2.241	2.11-2.42	2	2.645	3920/11834	NZ_CP011849.2 Piscirickettsia salmonis strain LF-89, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_003043105.1_genomic.fna.gz	0.3642	0.3577	97.79	97.44	97.69-97.86	2.214	2.214	2.08-2.37	2	2.522	5673/12669	NZ_PZEO01000001.1 Staphylococcus xylosus strain SNUC 1267 contig001, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002691485.1_genomic.fna.gz	0.3444	0.1377	97.36	96.97	97.25-97.49	2.094	2.094	1.91-2.33	2	2.424	1932/5013	NZIA01000058.1 Gammaproteobacteria bacterium isolate MED626 109156, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_003048965.1_genomic.fna.gz	0.3194	0.1967	97.18	96.72	97.11-97.39	1.942	1.942	1.64-1.98	2	2.245	2795/7867	NZ_PIRP01000001.1 Campylobacter concisus strain H26O-S1 NODE_1_length_1025414_cov_228.57, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002716105.1_genomic.fna.gz	0.3176	0.2841	97.91	97.45	97.83-98.01	1.931	1.931	1.78-2.06	2	2.345	4550/10149	PAZB01000001.1 Idiomarinaceae bacterium isolate SP86 73990, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_000434475.1_genomic.fna.gz	0.3004	0.2208	96.39	95.87	96.28-96.52	1.827	1.827	1.66-1.96	2	2.169	2483/9186	FR879452.1 Dialister sp. CAG:486 genomic scaffold, scf10, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000248355.1_genomic.fna.gz	0.2894	0.3252	95.96	95.41	95.84-96.09	1.760	1.760	1.63-1.92	2	2.802	3311/14219	NZ_AIEL01000252.1 Acinetobacter lwoffii NCTC 5866 = CIP 64.10 = NIPH 512 strain NCTC 5866 contig_0252, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_900221015.1_genomic.fna.gz	0.2847	0.3605	97.32	96.74	97.24-97.39	1.731	1.731	1.64-1.82	2	2.131	5603/15653	NZ_OBQK01000019.1 Ornithinimicrobium pekingense strain USBA17B2, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001552375.1_genomic.fna.gz	0.2839	0.3774	95.55	94.98	95.46-95.64	1.726	1.726	1.61-1.85	2	2.100	3484/17209	NZ_BCRB01000001.1 Cellulomonas iranensis NBRC 101100 = JCM 18110 strain NBRC 101100, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000813765.1_genomic.fna.gz	0.2822	0.3223	96.86	96.27	96.78-96.95	1.716	1.716	1.60-1.84	2	2.395	4524/14681	NZ_JWSY01000001.1 Brevundimonas nasdae strain TPW30 Contig_1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000290855.1_genomic.fna.gz	0.2807	0.5053	98.10	97.49	98.04-98.14	1.707	1.707	1.65-1.78	2	2.120	10246/22524	NZ_JH792232.1 Bacillus cereus VD107 supercont1.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_003097015.1_genomic.fna.gz	0.2660	0.3560	97.46	96.80	97.38-97.52	1.618	1.618	1.55-1.68	2	1.981	6293/17237	QENV01000001.1 Devosia sp. PTEAB7WZ Ga0206395_101, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001682195.1_genomic.fna.gz	0.2460	0.6041	97.29	96.53	97.23-97.36	1.496	1.496	1.44-1.56	2	1.880	10417/31110	NZ_CP003560.1 Flammeovirga sp. MY04 chromosome 1, complete sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_900130135.1_genomic.fna.gz	0.2359	0.3143	97.73	96.91	97.62-97.79	1.434	1.434	1.37-1.51	2	1.902	6384/16912	NZ_LT670820.1 Bacteroides togonis strain Marseille-P3166, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001939535.1_genomic.fna.gz	0.1979	0.2737	97.34	96.27	97.24-97.44	1.203	1.203	1.15-1.26	1	1.751	5460/17753	NZ_MIZD01000001.1 Bacillus licheniformis strain 127185/2 scaffold_0, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000757905.1_genomic.fna.gz	0.1916	0.1896	95.15	94.05	95.01-95.34	1.165	1.165	1.05-1.26	1	1.637	1863/12465	NZ_JRLH01000001.1 Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens strain Hangzhou contig1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002964915.1_genomic.fna.gz	0.1810	0.1388	97.85	96.62	97.71-97.96	1.101	1.101	1.04-1.16	1	1.676	3390/9832	NZ_PSZL01000001.1 Apibacter sp. wkB309 NODE_11_length_413543_cov_24.695860, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002140655.1_genomic.fna.gz	0.1728	0.2947	97.58	96.28	97.50-97.68	1.051	1.051	0.99-1.09	1	1.626	5987/19389	NZ_NGLG01000001.1 Enterococcus sp. 3H8_DIV0648 scaffold00001, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000379045.1_genomic.fna.gz	0.1663	0.2283	96.31	94.96	96.18-96.46	1.011	1.011	0.94-1.08	1	1.573	3486/17339	NZ_KB900605.1 Sphingomonas melonis DAPP-PG 224 Sphme3DRAFT_scaffold1.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_900321605.1_genomic.fna.gz	0.1640	0.1273	95.16	93.80	94.92-95.37	0.997	0.997	0.88-1.10	1	1.613	1369/9941	ONWR01000064.1 uncultured Bacteroidales bacterium isolate RUG715 genome assembly, contig: scaffold_26480, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002405555.1_genomic.fna.gz	0.1632	0.1155	96.25	94.87	96.07-96.44	0.992	0.992	0.92-1.08	1	1.569	1764/9029	DHMA01000182.1 TPA_asm: Opitutae bacterium UBA4654 UBA4654_contig_100154, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000725475.1_genomic.fna.gz	0.1556	0.4857	97.54	96.05	97.46-97.60	0.946	0.946	0.91-0.98	1	1.656	11532/40270	NZ_JNXR01000001.1 Streptomyces durhamensis strain NRRL B-3309 contig1.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000424645.1_genomic.fna.gz	0.1514	0.2102	96.56	95.03	96.40-96.72	0.920	0.920	0.85-0.99	1	1.532	3435/16670	NZ_KE384218.1 Gillisia sp. JM1 H033DRAFT_scaffold00001.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000963275.1_genomic.fna.gz	0.1507	0.1060	97.16	95.67	96.99-97.33	0.917	0.917	0.84-0.99	1	1.618	2283/9015	NZ_JYOW01000001.1 Streptococcus parasanguinis strain MGH413 TZ97_contig000001, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001428285.1_genomic.fna.gz	0.1445	0.2783	97.29	95.67	97.16-97.43	0.878	0.878	0.83-0.92	1	1.491	6295/24847	NZ_LMRX01000001.1 Mycobacterium sp. Soil538 contig_1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000723465.1_genomic.fna.gz	0.1418	0.1410	95.95	94.31	95.79-96.14	0.862	0.862	0.78-0.93	1	1.508	2010/12361	NZ_HF545616.1 Ruminococcus bicirculans chromosome I, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_000755365.1_genomic.fna.gz	0.1399	0.2535	96.79	95.14	96.67-96.94	0.851	0.851	0.79-0.90	1	1.482	4966/23294	BBMQ01000336.1 Vibrio sp. C7 DNA, contig: contig00050, strain: JCM 19233, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001975685.1_genomic.fna.gz	0.1375	0.1060	97.65	95.93	97.52-97.84	0.836	0.836	0.77-0.89	1	1.464	2664/9667	NZ_CP019433.1 Jeotgalibaca sp. PTS2502, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_001724035.1_genomic.fna.gz	0.1362	0.2043	97.76	96.02	97.65-97.89	0.828	0.828	0.78-0.87	1	1.500	5466/19260	MEDN01000001.1 Agrobacterium sp. SCN 61-19 ABS40_C0001, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000186325.1_genomic.fna.gz	0.1304	0.1554	97.46	95.63	97.29-97.63	0.793	0.793	0.73-0.84	1	1.459	3874/15480	NZ_AEKG01000428.1 Dietzia cinnamea P4 contig00521, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000157935.1_genomic.fna.gz	0.1299	0.1528	96.91	95.09	96.76-97.09	0.790	0.790	0.72-0.84	1	1.607	2998/14283	NZ_GG703878.1 Prevotella copri DSM 18205 Scfld26, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_900108525.1_genomic.fna.gz	0.1294	0.1209	97.82	95.97	97.66-98.01	0.787	0.787	0.72-0.84	1	1.450	3322/11898	NZ_FNWX01000089.1 Chryseobacterium hominis strain DSM 19326, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000016285.1_genomic.fna.gz	0.1275	0.2700	97.60	95.73	97.51-97.73	0.775	0.775	0.74-0.80	1	1.449	6922/26797	NC_011989.1 Agrobacterium vitis S4 chromosome 1, complete sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_900129625.1_genomic.fna	0.1198	0.1972	96.05	94.11	95.93-96.23	0.729	0.729	0.67-0.77	1	1.431	3240/21267	NZ_FQWJ01000035.1 Pantoea sesami strain Si-M154, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_001550135.1_genomic.fna.gz	0.1140	0.1836	97.26	95.16	97.11-97.43	0.693	0.693	0.64-0.73	1	1.396	4368/20333	NZ_LRUE01000001.1 Pseudoalteromonas shioyasakiensis strain JCM 18891 PASHI_S1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_001724535.1_genomic.fna.gz	0.1104	0.1249	96.91	94.75	96.80-97.10	0.672	0.672	0.61-0.71	1	1.369	2732/14521	MEES01000001.1 Paracoccus sp. SCN 68-21 ABS73_C0001, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_002962445.1_genomic.fna.gz	0.1097	0.0775	97.52	95.37	97.31-97.77	0.667	0.667	0.60-0.73	1	1.701	2082/9044	NZ_POOV01000001.1 Streptococcus suis strain 666 SS_0666_Contig1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_000434515.1_genomic.fna	0.1069	0.0912	97.29	95.06	97.11-97.55	0.650	0.650	0.59-0.71	1	1.445	2263/10890	FR879826.1 Prevotella sp. CAG:604 genomic scaffold, scf4, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_003151175.1_genomic.fna.gz	0.1015	0.1123	97.27	94.92	97.09-97.48	0.617	0.617	0.56-0.66	1	1.327	2766/13909	NZ_CP029478.1 Gammaproteobacteria bacterium ESL0073 chromosome, complete genome
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000466245.1_genomic.fna.gz	0.0960	0.1070	97.77	95.28	97.63-97.96	0.584	0.584	0.54-0.61	1	1.325	3164/14147	NZ_KE951832.1 Actinomyces johnsonii F0542 Scaffold0, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000187445.1_genomic.fna.gz	0.0929	0.0667	96.84	94.33	96.62-97.14	0.565	0.565	0.50-0.61	1	1.308	1462/8933	NZ_GL698449.1 Streptococcus sp. C150 supercont1.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000225005.1_genomic.fna.gz	0.0908	0.0896	97.53	94.92	97.36-97.77	0.552	0.552	0.51-0.58	1	1.291	2509/12621	NZ_AGBG01000114.1 Ectothiorhodospira sp. PHS-1 contig114, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_000586475.1_genomic.fna.gz	0.0849	0.0975	97.69	94.92	97.50-97.94	0.516	0.516	0.47-0.55	1	1.298	2919/14677	BAWJ01000056.1 Psychrobacter sp. JCM 18903 DNA, contig: JCM18903.contig00056, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002323495.1_genomic.fna.gz	0.0839	0.0938	97.37	94.59	97.22-97.61	0.510	0.510	0.47-0.54	1	1.262	2580/14473	DCQO01000022.1 TPA_asm: Olleya sp. UBA1516 UBA1516_contig_100, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000745575.1_genomic.fna.gz	0.0837	0.1691	97.03	94.25	96.86-97.19	0.509	0.509	0.48-0.54	1	1.315	4148/26033	NZ_KN050709.1 Rhizobium sp. OK665 EW95DRAFT_scaffold00001.1, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/GB_GCA_002305035.1_genomic.fna.gz	0.0819	0.0680	96.57	93.76	96.32-96.88	0.498	0.498	0.45-0.53	1	1.266	1465/10791	DBPY01000038.1 TPA_asm: Collinsella sp. UBA1408 UBA1408_contig_10627, whole genome shotgun sequence
species96/species96_1_R1.fq.gz	release89/bacteria/RS_GCF_000298015.1_genomic.fna.gz	0.0740	0.1136	96.85	93.79	96.65-97.13	0.450	0.450	0.41-0.48	1	1.232	2659/19408	NZ_JH823256.1 Aeromonas veronii AMC34 supercont1.1, whole genome shotgun sequence
